year,match_time,stage,venue,home_team,away_team,attendance,referee,score
1998,24 Jun 1998 - 16:00 ,Group C,Stade du Parc Lescure,South Africa,Saudi Arabia,31800.0,SANCHEZ YANTEN Mario (CHI),2-2
1998,24 Jun 1998 - 21:00 ,Group D,Stade Municipal,Nigeria,Paraguay,33500.0,ANPRASERT Pirom (THA),1-3
1998,24 Jun 1998 - 21:00 ,Group D,Stade Felix Bollaert,Spain,Bulgaria,38100.0,VAN DER ENDE Mario (NED),6-1
1998,25 Jun 1998 - 16:00 ,Group E,Parc des Princes,Belgium,Korea Republic,45500.0,REZENDE Marcio (BRA),1-1
1998,25 Jun 1998 - 16:00 ,Group E,Stade Geoffroy Guichard,Netherlands,Mexico,30600.0,ALZEID Abdulrahman (KSA),2-2
1998,25 Jun 1998 - 21:00 ,Group F,La Mosson,Germany,Iran,29800.0,GONZALEZ CHAVEZ Epifanio (PAR),2-0
1998,25 Jun 1998 - 21:00 ,Group F,La Beaujoire,USA,Yugoslavia,35500.0,EL GHANDOUR Gamal (EGY),0-1
1998,26 Jun 1998 - 16:00 ,Group H,Stade du Parc Lescure,Argentina,Croatia,31800.0,BELQOLA Said (MAR),1-0
1998,26 Jun 1998 - 16:00 ,Group H,Stade de Gerland,Japan,Jamaica,39100.0,BENKO Gunter (AUT),1-2
1998,26 Jun 1998 - 21:00 ,Group G,Stade Felix Bollaert,Colombia,England,38100.0,BRIZIO CARTER Arturo (MEX),0-2
1998,26 Jun 1998 - 21:00 ,Group G,Stade de France,Romania,Tunisia,77000.0,LENNIE Edward (AUS),1-1
1998,27 Jun 1998 - 16:30 ,Round of 16,Stade V�lodrome,Italy,Norway,55000.0,HEYNEMANN Bernd (GER),1-0
1998,27 Jun 1998 - 21:00 ,Round of 16,Parc des Princes,Brazil,Chile,45500.0,BATTA Marc (FRA),4-1
1998,28 Jun 1998 - 16:30 ,Round of 16,Stade Felix Bollaert,France,Paraguay,31800.0,BUJSAIM Ali (UAE),1-0
1998,28 Jun 1998 - 21:00 ,Round of 16,Stade de France,Nigeria,Denmark,77000.0,MEIER Urs (SUI),1-4
1998,29 Jun 1998 - 16:30 ,Round of 16,La Mosson,Germany,Mexico,29800.0,MELO PEREIRA Vitor (POR),2-1
1998,29 Jun 1998 - 21:00 ,Round of 16,Stade Municipal,Netherlands,Yugoslavia,33500.0,GARCIA ARANDA Jose Maria (ESP),2-1
1998,30 Jun 1998 - 16:30 ,Round of 16,Stade du Parc Lescure,Romania,Croatia,31800.0,CASTRILLI Javier (ARG),0-1
1998,30 Jun 1998 - 21:00 ,Round of 16,Stade Geoffroy Guichard,Argentina,England,30600.0,NIELSEN Kim Milton (DEN),(4) 2-2 (3)
2002,01 Jun 2002 - 15:30 ,Group E,Niigata Stadium Big Swan,"rn"">Republic of Ireland",Cameroon,33679.0,KAMIKAWA Toru (JPN),1-1
2002,01 Jun 2002 - 18:00 ,Group A,Munsu Football Stadium,Uruguay,Denmark,30157.0,MANE Saad (KUW),1-2
2002,01 Jun 2002 - 20:30 ,Group E,Sapporo Dome,Germany,Saudi Arabia,32218.0,AQUINO Ubaldo (PAR),8-0
2002,02 Jun 2002 - 14:30 ,Group F,Kashima Stadium,Argentina,Nigeria,34050.0,VEISSIERE Gilles (FRA),1-0
2002,02 Jun 2002 - 16:30 ,Group B,Busan Asiad Main Stadium,Paraguay,South Africa,25186.0,MICHEL Lubos (SVK),2-2
2002,02 Jun 2002 - 18:30 ,Group F,Saitama Stadium 2002,England,Sweden,52721.0,SIMON Carlos (BRA),1-1
2002,02 Jun 2002 - 20:30 ,Group B,Gwangju World Cup Stadium,Spain,Slovenia,28598.0,GUEZZAZ Mohammed (MAR),3-1
2002,03 Jun 2002 - 15:30 ,Group G,Niigata Stadium Big Swan,Croatia,Mexico,32239.0,JUN Lu (CHN),0-1
2002,03 Jun 2002 - 20:30 ,Group G,Sapporo Dome,Italy,Ecuador,31081.0,HALL Brian (USA),2-0
2002,03 June 2002 - 18:00 ,Group C,Munsu Football Stadium,Brazil,Turkey,33842.0,KIM Young Joo (KOR),2-1
2002,04 Jun 2002 - 20:30 ,Group D,Busan Asiad Main Stadium,Korea Republic,Poland,48760.0,RUIZ Oscar (COL),2-0
2002,04 June 2002 - 15:30 ,Group C,Gwangju World Cup Stadium,China PR,Costa Rica,27217.0,VASSARAS Kyros (GRE),0-2
2002,04 June 2002 - 18:00 ,Group H,Saitama Stadium 2002,Japan,Belgium,55256.0,MATTUS William (CRC),2-2
2002,05 Jun 2002 - 15:30 ,Group H,Kobe Wing Stadium,Russia,Tunisia,30957.0,PRENDERGAST Peter (JAM),2-0
2002,05 Jun 2002 - 18:00 ,Group D,Suwon World Cup Stadium,USA,Portugal,37306.0,MORENO Byron (ECU),3-2
2002,05 Jun 2002 - 20:30 ,Group E,Kashima Stadium,Germany,"rn"">Republic of Ireland",35854.0,NIELSEN Kim Milton (DEN),1-1
2002,06 Jun 2002 - 15:30 ,Group A,Daegu World Cup Stadium,Denmark,Senegal,43500.0,BATRES Carlos (GUA),1-1
2002,06 Jun 2002 - 18:00 ,Group E,Saitama Stadium 2002,Cameroon,Saudi Arabia,52328.0,HAUGE Terje (NOR),1-0
2002,06 Jun 2002 - 20:30 ,Group A,Busan Asiad Main Stadium,France,Uruguay,38289.0,RAMOS RIZO Felipe (MEX),0-0
2002,07 Jun 2002 - 15:30 ,Group F,Kobe Wing Stadium,Sweden,Nigeria,36194.0,ORTUBE Rene (BOL),2-1
2002,07 Jun 2002 - 20:30 ,Group F,Sapporo Dome,Argentina,England,35927.0,COLLINA Pierluigi (ITA),0-1
2002,07 June 2002 - 18:00 ,Group B,Jeonju World Cup Stadium,Spain,Paraguay,24000.0,EL GHANDOUR Gamal (EGY),3-1
2002,08 Jun 2002 - 15:30 ,Group B,Daegu World Cup Stadium,South Africa,Slovenia,47226.0,SANCHEZ Angel (ARG),1-0
2002,08 Jun 2002 - 20:30 ,Group C,Jeju World Cup Stadium,Brazil,China PR,36750.0,FRISK Anders (SWE),4-0
2002,08 June 2002 - 18:00 ,Group G,Kashima Stadium,Italy,Croatia,36472.0,POLL Graham (ENG),1-2
2002,09 Jun 2002 - 15:30 ,Group G,Miyagi Stadium,Mexico,Ecuador,45610.0,DAAMI Mourad (TUN),2-1
2002,09 Jun 2002 - 18:00 ,Group C,Incheon Football Stadium,Costa Rica,Turkey,42299.0,CODJIA Coffi (BEN),1-1
2002,09 Jun 2002 - 20:30 ,Group H,International Stadium Yokohama,Japan,Russia,66108.0,MERK Markus (GER),1-0
2002,10 Jun 2002 - 15:30 ,Group D,Daegu World Cup Stadium,Korea Republic,USA,60778.0,MEIER Urs (SUI),1-1
2002,10 Jun 2002 - 18:00 ,Group H,Oita Stadium Big Eye,Tunisia,Belgium,39700.0,SHIELD Mark (AUS),1-1
2002,10 Jun 2002 - 20:30 ,Group D,Jeonju World Cup Stadium,Portugal,Poland,31000.0,DALLAS Hugh (SCO),4-0
2002,11 Jun 2002 - 15:30 ,Group A,Incheon Football Stadium,Denmark,France,48100.0,MELO PEREIRA Vitor (POR),2-0
2002,11 Jun 2002 - 20:30 ,Group E,Shizuoka Stadium Ecopa,Cameroon,Germany,47085.0,LOPEZ NIETO Antonio (ESP),0-2
2002,11 Jun 2002 - 20:30 ,Group E,International Stadium Yokohama,Saudi Arabia,"rn"">Republic of Ireland",65320.0,NDOYE Falla (SEN),0-3
2002,11 June 2002 - 15:30 ,Group A,Suwon World Cup Stadium,Senegal,Uruguay,33681.0,WEGEREEF Jan (NED),3-3
